IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
3023.0,21552.0,2245.0,14.5,17.9,23.1,10.7,26.5,16.1,23.6,82.6,11.2,0.1,0.0,1.8,4.3,25.5,2162,69.6,21.6,8.4,0.4,8.4
5114.0,23195.0,3487.0,21.0,28.8,31.9,14.9,13.8,18.3,21.1,84.1,15.3,0.0,0.5,0.0,0.0,28.6,1817,69.9,18.8,10.8,0.5,6.2
4963.0,22559.0,2880.0,17.4,35.1,32.7,21.6,19.4,9.6,16.7,89.2,6.3,0.0,0.7,0.0,3.7,22.2,1555,69.6,18.5,10.5,1.4,4.2
6553.0,23508.0,2824.0,10.9,6.8,31.3,19.4,18.7,8.6,22.0,81.5,13.2,0.0,1.7,0.8,2.8,28.8,1898,77.5,19.1,2.9,0.5,6.3
8253.0,19942.0,2347.0,13.8,29.0,31.8,13.3,29.2,9.8,16.0,68.5,17.9,0.0,4.0,0.7,8.9,24.0,1961,68.1,24.1,7.8,0.0,12.1
3730.0,25079.0,6144.0,23.8,41.5,37.2,12.2,16.3,12.0,22.3,82.5,14.2,0.0,0.6,2.7,0.1,32.1,2534,77.5,17.8,3.4,1.4,10.6
10222.0,24862.0,4671.0,17.5,21.8,30.4,12.3,27.3,12.6,17.4,79.1,15.1,0.0,0.0,2.3,3.5,31.3,1338,78.9,17.0,3.3,0.8,5.8
14429.0,21792.0,2711.0,19.2,26.1,23.3,20.9,19.8,19.6,16.4,80.2,13.7,0.0,2.1,2.7,1.3,31.9,1539,76.3,15.5,6.5,1.8,11.3
11864.0,20749.0,1816.0,14.6,17.6,25.1,11.0,28.4,12.2,23.3,85.3,11.3,0.9,0.8,0.6,1.1,33.2,2550,85.6,11.0,2.9,0.4,9.3
5651.0,16906.0,1683.0,25.7,39.5,18.9,18.6,22.0,22.6,18.0,80.8,17.9,0.0,0.5,0.5,0.3,36.1,3239,86.0,10.5,3.5,0.0,6.6
14926.0,22888.0,2686.0,16.9,19.4,27.0,14.7,20.3,16.5,21.5,87.7,7.5,0.0,0.8,3.9,0.2,30.8,1233,77.0,16.1,6.9,0.0,10.7
7392.0,20208.0,4751.0,18.9,35.1,25.8,14.7,30.1,13.3,16.1,77.5,15.8,0.7,2.6,0.0,3.4,29.2,1375,88.2,9.7,2.0,0.0,9.5
6569.0,24305.0,4943.0,14.3,24.1,27.8,11.0,22.9,16.3,22.0,86.8,11.6,0.0,0.0,0.5,1.0,33.5,2126,80.0,17.8,2.2,0.0,7.6
11780.0,20641.0,2730.0,25.5,45.5,23.7,15.6,23.0,14.1,23.5,90.2,9.5,0.0,0.1,0.2,0.0,30.1,986,79.5,17.7,2.2,0.5,18.6
3489.0,19926.0,1982.0,24.7,31.1,23.2,19.6,23.0,12.6,21.5,86.0,10.3,0.0,1.8,0.0,1.9,22.4,1480,80.1,11.6,7.9,0.4,12.7
8431.0,24800.0,3368.0,12.0,17.2,29.4,11.5,13.6,28.0,17.4,82.8,9.9,0.2,3.2,3.5,0.4,37.2,1321,78.7,16.0,5.1,0.2,6.8
7315.0,15882.0,2057.0,37.0,58.3,21.0,13.1,18.4,18.1,29.3,82.6,12.7,0.0,2.0,2.0,0.7,37.0,618,65.4,29.1,5.5,0.0,19.8
7869.0,19531.0,5434.0,20.5,19.1,14.2,12.6,29.7,13.7,29.9,86.8,9.1,0.0,0.0,2.3,1.8,23.7,445,84.3,14.6,1.1,0.0,21.8
16534.0,16684.0,4150.0,21.8,19.9,22.7,18.3,29.6,8.2,21.1,88.3,10.4,0.0,0.0,0.0,1.3,26.2,388,88.1,9.3,2.6,0.0,6.3
